cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
10,9,91,1263
10,10,74,1027
10,11,134,1861
10,12,126,1750
10,13,118,1638
10,14,130,1805
10,15,141,1958
10,16,112,1555
10,17,117,1625
10,18,125,1736
10,19,104,1444
10,20,117,1625
10,21,83,1152
10,22,89,1236
10,23,97,1347
10,24,142,1972
10,25,113,1569
10,26,109,1513
10,27,107,1486
10,28,128,1777
10,29,112,1555
10,30,116,1611
10,31,77,1069
10,32,114,1583
10,33,110,1527
10,34,86,1194
10,35,134,1861
10,36,85,1180
10,37,122,1694
10,38,109,1513
10,39,108,1500
10,40,118,1638
10,41,108,1500
10,42,124,1722
10,43,146,2027
10,44,134,1861
10,45,117,1625
10,46,127,1763
10,47,96,1333
10,48,120,1666
11,0,80,1111
11,1,104,1444
11,2,114,1583
11,3,135,1875
11,4,128,1777
11,5,102,1416
11,6,106,1472
11,7,111,1541
11,8,112,1555
11,9,114,1583
11,10,107,1486
11,11,112,1555
11,12,114,1583
11,13,102,1416
11,14,111,1541
11,15,89,1236
11,16,93,1291
11,17,143,1986
11,18,67,930
11,19,105,1458
11,20,121,1680
11,21,99,1375
11,22,104,1444
11,23,114,1583
11,24,107,1486
11,25,99,1375
11,26,115,1597
11,27,82,1138
11,28,96,1333
11,29,119,1652
11,30,92,1277
11,31,98,1361
11,32,107,1486
11,33,93,1291
11,34,106,1472
11,35,117,1625
11,36,121,1680
11,37,101,1402
11,38,105,1458
11,39,116,1611
11,40,123,1708
11,41,112,1555
11,42,80,1111
11,43,90,1250
11,44,101,1402
11,45,96,1333
11,46,112,1555
11,47,117,1625
11,48,119,1652
11,49,88,1222
11,50,124,1722
11,51,110,1527
11,52,101,1402
11,53,101,1402
11,54,117,1625
11,55,111,1541
11,56,124,1722
11,57,112,1555
12,0,128,1777
12,1,115,1597
