cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
730,1,66,66,66,66,
731,1,73,73,73,73,
732,1,69,69,69,69,
733,1,66,66,66,66,
734,1,62,62,62,62,
735,1,71,71,71,71,
736,1,70,70,70,70,
737,1,71,71,71,71,
738,1,70,70,70,70,
739,1,80,79,79,79,
740,1,68,68,68,68,
741,1,69,69,69,69,
742,1,90,90,90,90,
743,1,70,70,70,70,
744,1,65,65,65,65,
745,1,69,69,69,69,
746,1,71,71,71,71,
747,1,68,68,68,68,
748,1,79,79,79,79,
749,1,75,75,75,75,
750,1,71,71,71,71,
751,1,60,60,60,60,
752,1,72,72,72,72,
753,1,69,69,69,69,
754,1,64,64,64,64,
755,1,84,84,84,84,
756,1,69,69,69,69,
757,1,70,70,70,70,
758,1,55,55,55,55,
759,1,66,66,66,66,
760,1,64,64,64,64,
761,1,70,70,70,70,
762,1,83,83,83,83,
763,1,77,77,77,77,
764,1,72,72,72,72,
765,1,92,92,92,92,
766,1,63,63,63,63,
767,1,78,78,78,78,
768,1,68,68,68,68,
769,1,80,80,80,80,
770,1,69,69,69,69,
771,1,66,66,66,66,
772,1,74,74,74,74,
773,1,68,68,68,68,
774,1,69,69,69,69,
775,1,70,70,70,70,
776,1,64,64,64,64,
777,1,66,66,66,66,
778,1,74,74,74,74,
779,1,81,81,81,81,
780,1,95,95,95,95,
781,1,81,81,81,81,
782,1,73,73,73,73,
783,1,77,77,77,77,
784,1,67,67,67,67,
785,1,90,90,90,90,
786,1,66,66,66,66,
787,1,66,66,66,66,
788,1,82,82,82,82,
789,1,70,70,70,70,
790,1,71,71,71,71,
791,1,77,77,77,77,
792,1,82,82,82,82,
793,1,81,81,81,81,
794,1,72,72,72,72,
795,1,79,79,79,79,
796,1,77,77,77,77,
797,1,64,64,64,64,
798,1,74,74,74,74,
799,1,75,75,75,75,
800,1,76,76,76,76,

width_rows
cycle,index,width_ticks,width_ns
1,0,167,2319
1,1,97,1347
1,2,134,1861
1,3,116,1611
1,4,127,1763
1,5,169,2347
1,6,149,2069
1,7,109,1513
1,8,164,2277
1,9,110,1527
1,10,152,2111
1,11,133,1847
1,12,127,1763
1,13,119,1652
1,14,113,1569
1,15,116,1611
1,16,95,1319
1,17,123,1708
1,18,168,2333
1,19,111,1541
1,20,142,1972
1,21,147,2041
2,0,113,1569
2,1,104,1444
2,2,107,1486
2,3,177,2458
2,4,159,2208
2,5,118,1638
2,6,155,2152
2,7,124,1722
2,8,130,1805
2,9,137,1902
2,10,159,2208
2,11,142,1972
2,12,174,2416
2,13,111,1541
2,14,146,2027
2,15,118,1638
2,16,117,1625
2,17,186,2583
3,0,199,2763
3,1,102,1416
3,2,171,2375
3,3,194,2694
3,4,133,1847
3,5,146,2027
3,6,118,1638
3,7,124,1722
