cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
44,19,200,2777.0
44,20,187,2597.0
44,21,169,2347.0
44,22,209,2902.0
44,23,151,2097.0
44,24,149,2069.0
44,25,147,2041.0
44,26,210,2916.0
45,0,189,2625.0
45,1,205,2847.0
45,2,173,2402.0
45,3,214,2972.0
45,4,193,2680.0
45,5,140,1944.0
45,6,199,2763.0
45,7,146,2027.0
45,8,158,2194.0
45,9,177,2458.0
45,10,182,2527.0
45,11,166,2305.0
45,12,144,2000.0
45,13,186,2583.0
45,14,190,2638.0
45,15,196,2722.0
46,0,172,2388.0
46,1,178,2472.0
46,2,167,2319.0
46,3,117,1625.0
46,4,130,1805.0
46,5,191,2652.0
46,6,142,1972.0
46,7,194,2694.0
46,8,155,2152.0
46,9,194,2694.0
46,10,190,2638.0
46,11,185,2569.0
46,12,157,2180.0
46,13,112,1555.0
46,14,145,2013.0
46,15,198,2750.0
46,16,190,2638.0
46,17,152,2111.0
46,18,122,1694.0
46,19,197,2736.0
46,20,135,1875.0
46,21,182,2527.0
46,22,144,2000.0
46,23,187,2597.0
46,24,204,2833.0
46,25,206,2861.0
47,0,198,2750.0
47,1,203,2819.0
47,2,144,2000.0
47,3,198,2750.0
47,4,137,1902.0
47,5,141,1958.0
47,6,183,2541.0
47,7,193,2680.0
47,8,165,2291.0
47,9,205,2847.0
47,10,126,1750.0
47,11,193,2680.0
47,12,151,2097.0
47,13,146,2027.0
47,14,193,2680.0
47,15,183,2541.0
48,0,204,2833.0
48,1,157,2180.0
